Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The DebuggerLevel,Test ExecutorLevel,The TesterLevel,The Tester - AdvancedLevel,Take some breaksLevel,Make Your ChoiceLevel,On the WatchLevel,Break the LineLevel,Break the MethodLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The DebuggerProgress,Test ExecutorProgress,The TesterProgress,The Tester - AdvancedProgress,Take some breaksProgress,Make Your ChoiceProgress,On the WatchProgress,Break the LineProgress,Break the MethodProgress,Assert and TestedProgress
2024-06-04 17:48:03.976,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,13,41,37,0,28,0,0,8,0,18
2024-06-04 17:48:04.754,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,13,41,37,0,29,0,0,8,0,18
2024-06-04 17:48:14.534,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,14,41,37,0,29,0,0,8,0,18
2024-06-04 17:48:58.563,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,14,41,37,0,30,0,0,8,0,18
2024-06-04 17:49:00.773,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,14,41,37,0,31,0,0,8,0,18
2024-06-04 17:49:04.548,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,15,41,37,0,31,0,0,8,0,18
2024-06-04 17:49:38.949,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,15,41,37,0,32,0,0,8,0,18
2024-06-04 17:49:40.541,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,15,41,37,0,33,0,0,8,0,18
2024-06-04 17:49:42.94,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,16,41,37,0,33,0,0,8,0,18
2024-06-04 17:49:47.158,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,16,41,37,0,34,0,0,8,0,18
2024-06-04 18:25:18.548,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,16,41,37,0,35,0,0,8,0,18
2024-06-04 18:25:30.154,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,16,41,37,0,36,0,0,8,0,18
2024-06-04 18:25:34.254,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,17,41,37,0,36,0,0,8,0,18
2024-06-04 18:26:12.561,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,17,41,37,0,37,0,0,8,0,18
2024-06-04 18:28:15.707,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,17,41,37,0,38,0,0,8,0,18
2024-06-04 18:28:20.541,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,17,41,37,0,39,0,0,8,0,18
2024-06-04 18:28:22.835,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,17,41,37,0,40,0,0,8,0,18
2024-06-04 18:28:24.114,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,17,41,37,0,41,0,0,8,0,18
2024-06-04 18:28:28.483,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,18,41,37,0,41,0,0,8,0,18
2024-06-04 18:34:52.46,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,11,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,19,41,37,0,41,0,0,8,0,18
